Breeding line,Yield
SWW14112DH18_2,1.82
SWW14112DH2_2,5.18
SWW14112DH20_2,2.89
SWW14112DH21_2,3.09
SWW14112DH22_2,3.3
SWW14112DH24_2,3.83
SWW14112DH25_2,4.17
SWW14112DH27_2,1.55
SWW14112DH28_2,3.5
SWW14112DH29_2,0.4
SWW14112DH3_2,4.84
SWW14112DH30_2,3.77
SWW14112DH31_2,2.02
SWW14112DH32_2,3.63
SWW14112DH33_2,3.56
SWW14112DH36_2,4.84
SWW14112DH37_2,4.77
SWW14112DH38_2,4.91
SWW14112DH39_2,4.37
SWW14112DH4_2,3.16
SWW14112DH42_2,3.97
SWW14112DH43_2,5.11
SWW14112DH44_2,5.38
SWW14112DH48_2,6.59
SWW14112DH49_2,6.12
SWW14112DH5_2,4.77
SWW14112DH51_2,4.44
SWW14112DH52_2,4.37
SWW14112DH53_2,5.92
SWW14112DH54_2,5.65
SWW14112DH56_2,3.9
SWW14112DH57_2,3.97
SWW14112DH58_2,6.19
SWW14112DH59_2,6.46
SWW14112DH60_2,5.92
SWW14112DH61_2,7.13
SWW14112DH62_2,5.85
SWW14112DH63_2,3.83
SWW14112DH65_2,5.72
SWW14112DH66_2,5.72
SWW14112DH67_2,5.04
SWW14112DH68_2,5.51
SWW14112DH69_2,5.45
SWW14112DH70_2,5.18
SWW14112DH71_2,4.17
SWW14112DH72_2,5.31
SWW14112DH73_2,5.18
SWW14112DH75_2,0.81
SWW14112DH76_2,2.69
SWW14112DH77_2,2.49
SWW14112DH9_2,3.56
SWW14132DH1_2,2.56
SWW14132DH11_2,2.62
SWW14132DH12_2,4.17
SWW14132DH13_2,1.55
SWW14132DH14_2,3.77
SWW14132DH15_2,3.36
SWW14132DH16_2,2.82
SWW14132DH17_2,2.22
SWW14132DH18_2,3.23
SWW14132DH19_2,3.9
SWW14132DH2_2,3.23
SWW14132DH20_2,3.09
SWW14132DH24_2,5.18
SWW14132DH25_2,3.83
SWW14132DH26_2,4.77
SWW14132DH28_2,4.1
SWW14132DH29_2,4.44
SWW14132DH3_2,3.77
SWW14132DH30_2,4.57
SWW14132DH31_2,5.11
SWW14132DH32_2,4.84
SWW14132DH35_2,5.45
SWW14132DH36_2,5.25
SWW14132DH37_2,5.45
SWW14132DH38_2,4.24
SWW14132DH4_2,0.4
SWW14132DH40_2,4.84
SWW14132DH41_2,4.04
SWW14132DH42_2,4.1
SWW14132DH44_2,2.96
SWW14132DH46_2,1.88
SWW14132DH47_2,3.23
SWW14132DH48_2,2.08
SWW14132DH6_2,3.97
SWW14132DH7_2,3.77
SWW14132DH8_2,5.25
SWW14132DH9_2,3.97
SWW14133DH1_2,5.58
SWW14133DH2_2,4.17
SWW14133DH3_2,5.31
SWW14133DH4_2,4.98
SWW14133DH5_2,4.37
SWW14133DH6_2,3.83
SWW14133DH7_2,5.78
SWW14133DH8_2,3.16
SWW14137DH1_2,3.03
SWW14137DH2_2,3.16
SWW14137DH3_2,2.56
SWW14138DH10_2,1.75
SWW14138DH100_2,5.51
SWW14138DH101_2,5.31
SWW14138DH102_2,6.59
SWW14138DH105_2,5.92
SWW14138DH11_2,2.15
SWW14138DH12_2,5.38
SWW14138DH13_2,4.3
SWW14138DH15_2,2.15
SWW14138DH16_2,2.62
SWW14138DH17_2,3.7
SWW14138DH18_2,1.95
SWW14138DH19_2,2.89
SWW14138DH20_2,3.43
SWW14138DH21_2,4.37
SWW14138DH22_2,4.51
SWW14138DH23_2,6.32
SWW14138DH24_2,7.73
SWW14138DH25_2,5.18
SWW14138DH27_2,4.51
SWW14138DH28_2,5.72
SWW14138DH3_2,1.88
SWW14138DH31_2,6.39
SWW14138DH32_2,6.46
SWW14138DH33_2,5.45
SWW14138DH35_2,5.31
SWW14138DH36_2,7.06
SWW14138DH37_2,4.84
SWW14138DH38_2,4.84
SWW14138DH4_2,2.69
SWW14138DH40_2,4.04
SWW14138DH41_2,4.51
SWW14138DH42_2,6.39
SWW14138DH43_2,2.96
SWW14138DH44_2,4.04
SWW14138DH45_2,4.91
SWW14138DH46_2,5.51
SWW14138DH48_2,5.18
SWW14138DH49_2,6.12
SWW14138DH5_2,2.56
SWW14138DH50_2,6.59
SWW14138DH54_2,4.51
SWW14138DH55_2,5.99
SWW14138DH56_2,4.24
SWW14138DH59_2,3.97
SWW14138DH6_2,3.03
SWW14138DH61_2,5.11
SWW14138DH62_2,4.37
SWW14138DH63_2,2.76
SWW14138DH64_2,4.84
SWW14138DH66_2,1.55
SWW14138DH67_2,3.36
SWW14138DH68_2,3.56
SWW14138DH69_2,5.25
SWW14138DH7_2,3.36
SWW14138DH70_2,3.63
SWW14138DH71_2,4.37
SWW14138DH72_2,4.04
SWW14138DH75_2,4.98
SWW14138DH76_2,4.77
SWW14138DH78_2,4.24
SWW14138DH79_2,5.11
SWW14138DH8_2,2.56
SWW14138DH80_2,5.31
SWW14138DH81_2,6.86
