ID,HT-IL,FL-IL,HT-MX
12EF1528_3,207.48,84.25,160.12
12EF1530_3,179.91,104,157.57
12EF1531_3,238.99,130.66,163.13
12EF1532_3,174.01,87.22,148.53
12EF1534_3,220.28,104.99,143.78
12EF1535_3,172.04,84.25,143.4
12EF1536_3,203.54,132.63,144.83
12EF1537_3,221.26,87.22,139.8
12EF1539_3,194.68,87.22,150.29
12EF1540_3,148.41,101.04,137.76
12EF1545_3,133.64,104.99,127.99
12EF1546_3,151.36,107.95,130.05
12EF1547_3,129.7,105.97,126.91
12EF1552_3,135.85,123.09,119.21
12EF1553_3,126.99,103.34,129.3
12EF1555_3,146.68,129.01,132.31
12EF1558_3,146.68,105.32,137.01
12EF1560_3,157.51,128.03,139.57
12EF1563_3,138.8,134.94,138.26
12EF1564_3,172.28,134.94,144.71
12EF1565_3,150.62,84.59,140.83
12EF1567_3,160.46,106.31,147.4
12EF1569_3,168.34,129.01,152.86
12EF1570_3,227.41,103.34,154.98
12EF1571_3,225.44,108.28,155.1
12EF1572_3,235.29,103.34,157.55
12EF1574_3,209.69,101.37,156.52
12EF1575_3,222.49,103.34,157.72
12EF1576_3,204.77,104.33,160.87
12EF1578_3,227.41,106.31,165.25
12EF1581_3,220.52,106.31,165.43
12EF1582_3,216.58,108.28,164.45
12EF1583_3,345.56,121.11,168.57
12EF1585_3,272.7,105.32,168
12EF1587_3,277.62,103.34,172.96
12EF1588_3,236.27,103.34,171.64
12EF1589_3,215.6,111.24,172.02
12EF1590_3,312.08,127.04,178.09
12EF1591_3,233.32,101.37,176.78
12EF1592_3,193.94,103.34,176.78
12EF1593_3,127.97,110.25,177.16
12EF1596_3,273.68,103.34,185.8
12EF1597_3,275.65,106.31,184.86
12EF1598_3,303.22,103.34,191.11
PRE1203_4,367.53,137.86,
12EF1202_4,331.88,132.34,
12EF1203_4,416.56,123.45,
12EF1204_4,406.71,102.72,233.89
12EF1206_4,398.83,124.44,228.76
12EF1207_4,406.71,102.72,225.12
12EF1208_4,371.27,130.36,222.84
12EF1210_4,375.2,92.85,220.27
12EF1211_4,330.9,89.88,226.45
12EF1212_4,304.32,73.1,221.3
12EF1214_4,354.53,134.31,217.42
12EF1216_4,390.96,102.72,218.73
